"Pathway";"Abatacept_NES";"Abatacept_pval";"Abatacept_padj";"Abatacept_leadingEdge";"earlyCOVID_NES";"earlyCOVID_pval";"earlyCOVID_padj";"lateCOVID_NES";"lateCOVID_pval";"lateCOVID_padj"
"GO:0002224";"toll-like receptor signaling pathway";-1.54442539246257;0.00299066360060819;0.00598132720121637;"FADD, TIRAP, PDPK1, MAPKAPK2, IRAK3, TAB2, ITGAM, ITGB2, APPL2, RTN4, CYBA, PJA2, LILRA2, BCL10, MYD88, TLR2, CNPY3, EPG5, RPS6KA3, GRAMD4, TRAF6, NFKBIA, CD300LF, IRF4, LYN, TNFAIP3, TNIP1, TLR4, PRKCE, IRAK1, IKBKG, WDFY1, CASP8, TLR8, UBE2D2, TLR5, MAPKAPK3, BTK, IRF1, LTF, ARRB2, MAP3K1, FLOT1";1.95611044321547;4.89155424244499e-06;1.34517741667237e-05;1.66996440700801;0.000244105463324375;0.00179010673104541
"GO:0039528";"cytoplasmic pattern recognition receptor signaling pathway in response to virus";0.905886346403402;0.600761293513122;0.629368974156604;"GLTSCR2, DHX58, ZCCHC3, DDX60, BIRC3, IFIH1, TMEM173, C1QBP";-0.780562825165789;0.788409110245512;0.825952401209584;-0.851006308391222;0.687252733502379;0.687252733502379
"GO:0060337";"type I interferon signaling pathway";-1.18320697463867;0.16264809635912;0.188329374731613;"FADD, PTPN6, MUL1, JAK1, HLA-C, IRF2, YTHDF3, HLA-B, HLA-A, LSM14A, RNASEL, MYD88, HLA-E, IFNAR2, PTPN1, TYK2, IRF4, IFITM2, ADAR, IRAK1, GBP2, STAT1, IRF1, IFNAR1, PSMB8, NLRC5";2.03057224790206;9.3901562991516e-06;2.29537153979261e-05;1.55898238437204;0.00487751244525957;0.0134131592244638
"GO:0016197";"endosomal transport";-1.81886233761884;2.6627967354112e-06;9.83173433581272e-06;"STX6, SNX27, STAM, DSCR3, RAB7A, VPS26B, EHD1, VCP, CLTC, EPS15, CHMP1A, CHMP2A, RAB14, RAB8A, VPS37B, SORT1, CHMP4B, VTI1A, LMTK2, ARHGAP1, RGP1, VPS4B, EVI5, WAS, RAB35, KIAA0196, LAMTOR1, TBC1D5, CLTCL1, CORO1C, RAB11FIP4, TMCC1, SNX1, SPAG9, STX10, FAM21C, EHD3, VPS39, TSG101, RAB10, CHMP2B, ZFYVE20, EPG5, TRAPPC10, TMEM50A, CHMP1B, TBC1D14, LRRK2, DENND5A, VPS37C, LYST, SQSTM1, VPS35, STX5, DCTN1, TOM1, ACAP2, TBC1D10B, CMTM6, SORL1, AP5B1, HEATR5A, GGA3, DENND1A, GRIPAP1, FAM21B, KIAA1432, EHD4, CHMP3, CCDC93, LEPROT, STX16, HGS, VAMP3, STAM2";1.76775461949298;1.55415853971264e-05;3.10831707942527e-05;1.7713417294076;1.01986180872492e-05;0.000224369597919482
"GO:0035747";"natural killer cell chemotaxis";-0.845412244427531;0.651535184051137;0.651535184051137;"PIK3CG";-1.61235907391017;0.0257705092052534;0.0354344501572234;-1.41734561468055;0.0836026426209255;0.109853529611826
"GO:0042267";"natural killer cell mediated cytotoxicity";-1.38486943637292;0.0559893689310256;0.0724568303813273;"KIR2DL4, PTPN6, LAMP1, AP1G1, RAB27A, CORO1A, IL18RAP, HLA-E, UNC13D, MICB, VAV1, LYST";1.18658639583425;0.184904323014047;0.239287947429943;0.995251535510576;0.453528000436229;0.525137684715633
"GO:0002456";"T cell mediated immunity";-1.65725842168953;0.00159723437773499;0.00439239453877122;"FOXP3, PRKCZ, FADD, IL18R1, SASH3, RAB27A, TNFRSF1B, WAS, HLA-C, SMAD7, FBXO38, HLA-B, HLA-A, IL1R1, IL18RAP, FAM49B, HLA-E, CTSC, SLC11A1, MICB, CD46, TRAF6";1.01066530334659;0.424003554111104;0.490951483707594;1.3258975404051;0.0446784432594875;0.0702089822649089
"GO:0002369";"T cell cytokine production";-1.6996452525003;0.00640459162756799;0.00939340105376638;"FOXP3, PRKCZ, IL18R1, SASH3, TNFRSF1B, SMAD7, IL1R1, IL18RAP, SLC11A1, TRAF6, IL18, ARG1, KDELR1, CD55";-0.928987905557902;0.570796660140962;0.627876326155059;1.48274379192439;0.0299786345797985;0.0507330739042744
"GO:0019882";"antigen processing and presentation";-2.11745442220943;2.68138209158529e-06;9.83173433581272e-06;"KIF2C, KIF11, PSMC1, CAPZB, SEC24D, CTSD, RAB7A, RACGAP1, CD68, CLTC, PSMC4, DCTN4, SNAP23, PSMD9, OSBPL1A, PSMD13, BCAP31, PSME3, AP1G1, TAPBP, RAB27A, NCF1, AP1M1, DNM2, PSME1, RAB32, WAS, RAB35, HLA-C, DCTN3, CENPE, CYBA, HLA-B, HLA-A, ACTR1A, DCTN2, SEC24C, CALR, NCF2, RAB10, SEC23A, KIF3C, LILRB2, HLA-E, MR1, CLTA, PSMB3, PSMB9, SLC11A1, PYCARD, ARF1, TRAF6, DCTN1, PSMB10, NCF4, RAB5B, CANX, PSMB2, SEC22B, KIF23, IKBKG, SEC13, TAPBPL, SEC24B, VAMP3, PSMD6, KLC1, TAP1, DYNC1LI1, PSMB8, PDIA3, TAP2, FCER1G, CD1D, PSMD2, AP2A2, THBS1, AP1B1, AP1M2, KIF4A, HLA-H, AP3B1, PSMD11";2.61245144472662;2.62099839070699e-06;1.15323929191107e-05;1.43873639064405;0.00236019160723103;0.0109961482197737
"GO:0002573";"myeloid leukocyte differentiation";-1.86556542287944;5.18016617973105e-06;1.62805222791547e-05;"KLF10, FADD, JUN, LBR, HCLS1, CTNNB1, DHRS7B, PAFAH1B1, TNFRSF11A, PSEN1, MMP9, ATP6AP1, TRIB1, INPP5D, CDC42, TGFB1, NF1, UBASH3B, EVI2B, LRRK1, RASSF2, CBFA2T3, MYH9, FBN1, CEBPE, TCTA, OSCAR, NOTCH2, TLR2, SPI1, MAPK14, TRAF6, THOC5, KIT, TGFBR2, IREB2, ACIN1, IRF4, RARA, MIR223, RUNX1, MAFB, TCIRG1, LYN, FES, ESRRA, RBPJ, NRROS, TLR4, GAB2, PIK3CD, CSF1R, CASP8, TYROBP, TFE3, VEGFA, SNX10, ZFP36L1, TSPAN2, LILRB3, LTF, FOXP1, FCER1G, SP3, PDE1B, CEBPB, CD101";1.76234453148579;6.56212693677391e-05;0.000120305660507522;1.30496549874717;0.0266122780742224;0.0487891764694077
